range (byte),t (us),bandwidth (gbps)
16,5519.87,194.523
32,5520.9,194.487
64,5520.64,194.496
128,5519.1,194.55
256,5521.02,194.482
512,5520.13,194.514
1024,5520.9,194.487
2048,10828,99.1632
4096,10764.5,99.748
8192,10718.6,100.176
16384,10770.9,99.6887
32768,10817,99.2641
65536,10833.9,99.1093
131072,12219,87.8747
262144,15750,68.174
524288,7897.09,135.967
1.04858e+06,6376.58,168.388
2.09715e+06,5889.54,182.313
4.1943e+06,5684.99,188.873
8.38861e+06,5598.98,191.775
1.67772e+07,5561.09,193.081
3.35544e+07,5539.07,193.849
6.71089e+07,5529.47,194.185
