nthread,ngrp,nreg,niter,t (us)
1,1,1,100,7.936
1,1,1,12600,584.96
1,1,1,21539,997.12
1,1,1,21539,998.016
1,1,2,21539,1071.1
1,1,3,21539,1107.97
1,1,4,21539,1181.18
1,1,5,21539,1255.94
1,1,6,21539,1402.88
1,1,7,21539,1660.54
1,1,8,21539,1698.05
1,1,9,21539,2029.06
1,1,10,21539,1992.06
1,1,11,21539,2249.98
1,1,12,21539,2359.94
1,1,13,21539,2618.11
1,1,14,21539,2582.02
1,1,15,21539,2839.04
1,1,16,21539,2950.14
1,1,17,21539,3207.17
1,1,18,21539,3170.94
1,1,19,21539,3428.1
1,1,20,21539,3538.94
1,1,21,21539,3796.99
1,1,22,21539,3760.13
1,1,23,21539,4018.05
1,1,24,21539,4128.51
1,1,25,21539,4386.05
1,1,26,21539,4349.95
1,1,27,21539,4607.1
1,1,28,21539,4717.95
1,1,29,21539,4975.49
1,1,30,21539,4938.5
1,1,31,21539,5196.03
1,1,32,21539,5307.01
1,1,33,21539,5566.59
1,1,34,21539,5529.09
1,1,35,21539,5787.01
1,1,36,21539,5897.98
1,1,37,21539,6155.52
1,1,38,21539,6119.17
1,1,39,21539,6376.58
1,1,40,21539,6487.04
1,1,41,21539,6745.47
1,1,42,21539,6708.99
1,1,43,21539,6966.02
1,1,44,21539,7076.99
1,1,45,21539,7334.91
1,1,46,21539,7298.05
1,1,47,21539,7556.1
1,1,48,21539,7666.43
1,1,49,21539,7924.48
1,1,50,21539,7887.49
1,1,51,21539,8145.54
1,1,52,21539,8256
1,1,53,21539,8514.05
1,1,54,21539,8477.18
1,1,55,21539,8734.98
1,1,56,21539,8845.95
1,1,57,21539,9103.87
1,1,58,21539,9067.01
1,1,59,21539,9324.03
1,1,60,21539,9435.14
1,1,61,21539,9693.06
1,1,62,21539,9656.06
1,1,63,21539,9914.11
1,1,64,21539,10025
1,1,65,21539,10283
1,1,66,21539,10245.9
1,1,67,21539,10502.9
1,1,68,21539,10614.9
1,1,69,21539,10872.1
1,1,70,21539,10835.6
1,1,71,21539,11093
1,1,72,21539,11203.8
1,1,73,21539,11461.5
1,1,74,21539,11424.9
1,1,75,21539,11682.6
1,1,76,21539,11793.5
1,1,77,21539,12050.9
1,1,78,21539,12014.1
1,1,79,21539,12271.9
1,1,80,21539,12383
1,1,81,21539,12640
1,1,82,21539,12604
1,1,83,21539,12861.4
1,1,84,21539,12972
1,1,85,21539,13230.1
1,1,86,21539,13193.6
1,1,87,21539,13451
1,1,88,21539,13561.9
1,1,89,21539,13819.9
1,1,90,21539,13783
1,1,91,21539,14041
1,1,92,21539,14151.9
1,1,93,21539,14409
1,1,94,21539,14372.1
1,1,95,21539,14630
1,1,96,21539,14741
1,1,97,21539,14998.5
1,1,98,21539,14961.9
1,1,99,21539,15220
1,1,100,21539,15330
1,1,101,21539,15588.1
1,1,102,21539,15551
1,1,103,21539,15809
1,1,104,21539,15920
1,1,105,21539,16177.9
1,1,106,21539,16141.1
1,1,107,21539,16399.1
1,1,108,21539,16509.6
1,1,109,21539,16767
1,1,110,21539,16730.6
1,1,111,21539,16988.5
1,1,112,21539,17099
1,1,113,21539,17356.4
1,1,114,21539,17319.9
1,1,115,21539,17578
1,1,116,21539,17688.1
1,1,117,21539,17946.1
1,1,118,21539,17909
1,1,119,21539,18167
1,1,120,21539,18277.9
1,1,121,21539,18535.9
1,1,122,21539,18499.1
1,1,123,21539,18757
1,1,124,21539,18867.5
1,1,125,21539,19125
1,1,126,21539,19089.2
1,1,127,21539,19346.2
1,1,128,21539,19457
1,1,129,21539,19715.1
1,1,130,21539,19678.1
1,1,131,21539,19936
1,1,132,21539,20046.8
1,1,133,21539,20304.1
1,1,134,21539,20267.5
1,1,135,21539,20525.1
1,1,136,21539,20636
1,1,137,21539,20894
1,1,138,21539,20857.1
1,1,139,21539,21115
1,1,140,21539,21226
1,1,141,21539,21483
1,1,142,21539,21446.5
1,1,143,21539,21704.2
1,1,144,21539,21814.9
1,1,145,21539,22073
1,1,146,21539,22035.1
1,1,147,21539,22293
1,1,148,21539,22404.1
1,1,149,21539,22662.1
1,1,150,21539,22625
1,1,151,21539,22883.1
1,1,152,21539,22994.2
1,1,153,21539,23252
1,1,154,21539,23215.1
1,1,155,21539,23473
1,1,156,21539,23583
1,1,157,21539,23841
1,1,158,21539,23804.2
1,1,159,21539,24062.5
1,1,160,21539,24173.1
1,1,161,21539,24430.8
1,1,162,21539,24394.2
1,1,163,21539,24651
1,1,164,21539,24762
1,1,165,21539,25019.9
1,1,166,21539,24983
1,1,167,21539,25241.5
1,1,168,21539,25352.1
1,1,169,21539,25609.6
1,1,170,21539,25573
1,1,171,21539,25830.9
1,1,172,21539,25941
1,1,173,21539,26199
1,1,174,21539,26162.9
1,1,175,21539,26420.6
1,1,176,21539,26530.9
1,1,177,21539,26788.9
1,1,178,21539,26751.5
1,1,179,21539,26899.1
1,1,180,21539,27047.2
1,1,181,21539,28998.5
1,1,182,21539,29109
1,1,183,21539,32718
1,1,184,21539,44463.1
1,1,183,21539,32717.6
1,2,183,21539,32717.4
1,3,183,21539,32737.4
1,4,183,21539,32774.9
1,5,183,21539,32777
1,6,183,21539,32814.8
1,7,183,21539,32804
1,8,183,21539,32779.4
1,9,183,21539,32785.9
1,10,183,21539,32782.1
1,11,183,21539,32785.5
1,12,183,21539,32786.9
1,13,183,21539,65516
1,1,91,21539,14040.4
1,2,91,21539,14041.1
1,3,91,21539,14041
1,4,91,21539,14040.8
1,5,91,21539,14041.1
1,6,91,21539,14041.1
1,7,91,21539,14187
1,8,91,21539,14187
1,9,91,21539,14187
1,10,91,21539,14187
1,11,91,21539,14187
1,12,91,21539,14187
1,13,91,21539,14335
1,14,91,21539,14334.6
1,15,91,21539,14432.5
1,16,91,21539,14580
1,17,91,21539,14580
1,18,91,21539,14579.6
1,19,91,21539,15253
1,20,91,21539,15253
1,21,91,21539,15291.9
1,22,91,21539,15292
1,23,91,21539,15474.9
1,24,91,21539,15473.9
1,25,91,21539,28095
